Approach,Reduction,Method,Silhouette,DaviesBouldin,CalinskiHarabasz,Dunn,SDIndex,XieBeni,n_clusters,ARI,NMI,Homogeneity,Completeness,VMeasure,FMI,Purity
Feature-Based,NONE,SOM,0.11917332648079951,1.3836143111583954,27.642637409100114,0.07225589125245997,0.5855476429009964,4.849059555429509,67,0.1898618018520334,0.6106512364592854,0.988618070469757,0.44175875581471,0.6106512364592854,0.352648636130866,0.9884726224783862
Feature-Based,PCA,KMeans,0.2439708590481708,1.6121502028541699,94.5168283402869,0.0814666586225095,0.9211738429510252,5.754731083462673,6,0.6537784328555883,0.7572411898042051,0.7092517885771722,0.8121960034732122,0.757241189804205,0.732785570209077,0.7636887608069164
Feature-Based,PCA,MiniBatchKMeans,0.20440825282462477,2.0140804798890155,90.70647387011019,0.06200808488776936,1.220710220017819,7.14007625774982,6,0.6496673678372359,0.7394246791037017,0.7053838032046249,0.7769176841154724,0.7394246791037016,0.7255665495318796,0.7723342939481268
Feature-Based,PCA,CAH_Ward,0.26811846558332075,1.8101132494056194,104.35961272773471,0.11880454730522881,1.148563608193635,5.180015925512754,6,0.605560444560836,0.7653893345731747,0.6896418729839533,0.8598295154011165,0.7653893345731748,0.7138759919913579,0.7002881844380403
Feature-Based,PCA,GMM,0.24412692473988123,1.6391912973812521,93.95233833936187,0.0830625154888266,0.92388655759297,5.744009103267622,6,0.6741384836801335,0.7753417997768914,0.7254651519042933,0.8325829305800353,0.7753417997768915,0.7495213189105389,0.7780979827089337
Feature-Based,PCA,Spectral,0.22976567636582068,1.7211709078755855,86.54670906911838,0.05960774981430501,0.9657544192871258,7.2020057937684285,6,0.7819928262799667,0.8591857024903201,0.8366880862575213,0.8829266217456732,0.8591857024903201,0.8263332878304982,0.8443804034582133
Feature-Based,PCA,Birch,0.26470331447646167,1.8220633026892383,104.39649351118052,0.11043122465733407,1.1491193805615931,5.281076696430587,6,0.6031655284607437,0.7603623680727041,0.6872084271190374,0.8509463553744449,0.7603623680727042,0.7099037785184282,0.6974063400576369
Feature-Based,PCA,Affinity,0.20061409573971398,1.123108385013067,64.132933698954,0.10912501499134868,0.9438658235119323,4.0439290637500065,18,0.7477442871459513,0.7954965296806693,0.8960975672295465,0.715203674981432,0.7954965296806693,0.7924172650396805,0.9452449567723343
Feature-Based,PCA,DBSCAN,,,,,,,1,0.0,0.0,0.0,1.0,0.0,0.4222454454520034,0.0
Feature-Based,PCA,OPTICS,0.23677802593854877,2.1301464125921945,99.96918117440397,0.06469145901232072,0.8943432545711074,9.809649213013884,4,0.36709197962722034,0.5974573583963586,0.4698022648880827,0.8203686706416713,0.5974573583963586,0.5780238632337209,0.38904899135446686
